LastChange,Title,Developer,Reviews,Price,Discount,ProtonDB,Status,Publisher
"Jun 07, 2025",Trajectory of summer flower,SoraPrayer,76%,$1.99,,,Playable,N/A
"Jun 07, 2025",Emergency Cleanup Co.,Smallroom,86%,$12.99,,,Playable,N/A
"Jun 07, 2025",My Bimbo Dream,"MBD, Satyr Games",76%,$14.99,,,Playable,N/A
"Jun 07, 2025",Mask of the Plague Doctor,Choice of Games,91%,$7.99,,,Playable,N/A
"Jun 07, 2025",Haunted Record,Heathersward,96%,Free,,,Playable,N/A
"Jun 07, 2025",Dead Forest,Manul Games,100%,$11.99,,,Playable,N/A
"Jun 07, 2025",America's Next Top Pornstar,adDICKtive games,84%,$14.99,,,Playable,N/A
"Jun 07, 2025","The Princess, the Stray Cat, and Matters of the Heart 2",TOKYOTOON,94%,$13.99,-30%,,Unsupported,N/A
"Jun 07, 2025",Football Referee Simulator,Vladimir Pliashkun,93%,$0.99,,,Unsupported,N/A
"Jun 07, 2025",Her Place VR,Neon Mirage Creations,64%,$9.99,,,Unsupported,N/A
"Jun 07, 2025",Talented Exorcist won't submit to Tentacle Demon,けーわいけーわい,85%,$19.99,,,Playable,N/A
"Jun 07, 2025",AI Solitaire,Bikini Beach Games,70%,,,,Playable,N/A
"Jun 07, 2025",Urge,EnDrew,90%,$17.99,,,Playable,N/A
"Jun 07, 2025",Yukie: A Japanese Winter Fairy Tale,"ImCyan, Vaka Game Magazine",67%,$2.99,,,Playable,N/A
"Jun 07, 2025",RoGlass,James Castle,98%,$9.99,,,Playable,N/A
"Jun 07, 2025",The Happyhills Homicide,Copperbolt,97%,Free,,,Playable,N/A
"Jun 07, 2025",Fantasy Valley - Season 1,Ancho,100%,$10.99,,,Playable,N/A
"Jun 07, 2025",Lewd Island,xRed Games,68%,$6.90,,,Verified,N/A
"Jun 07, 2025",Public Bounce,Trigon Fan,74%,,,,Playable,N/A
"Jun 07, 2025",Ghost Croquet,"YellowAfterlife, ampersandbear",96%,$7.99,,,Playable,N/A
"Jun 07, 2025",You Must be 18 or Older to Enter,Seemingly Pointless,83%,,,,Playable,N/A
"Jun 07, 2025",VR Naughty,CTM,48%,$4.99,,,Unsupported,N/A
"Jun 07, 2025",Oppai Samurai: Knocked up by a No Name Novice,Miel,76%,$11.99,,,Unsupported,N/A
"Jun 07, 2025",NOBUNAGA'S AMBITION: Reppuden with Power Up Kit,"KOEI TECMO GAMES CO., LTD.",64%,$9.99,-50%,,Unsupported,N/A
"Jun 07, 2025",Katagiri-san is very cold,プラスカゼット,88%,$3.99,,,Playable,N/A
"Jun 07, 2025",The Lazy Demon Lord and the Four Stones of Dispel,I-guruwan,85%,$12.99,,,Playable,N/A
"Jun 07, 2025",Arctic Wolves,pup_blake,85%,,,,Unsupported,N/A
"Jun 07, 2025",Spellcats: Auto Card Tactics,Nintai Studios,68%,$9.99,,,Playable,N/A
"Jun 07, 2025",Bonesaw,"Blood Pact Studios, David Bastien-Robert, Samuel Gauthier",89%,$6.66,,,Playable,N/A
"Jun 07, 2025",星塔星夜MONOBEHEVO,iiloo,71%,$6.99,,,Playable,N/A
